Pick Number,Team,Player,NBA Seasons
1,PHI,Markelle Fultz,2
2,LAL,Lonzo Ball,2
3,BOS,Jayson Tatum,2
4,PHO,Josh Jackson,2
5,SAC,De'Aaron Fox,2
6,ORL,Jonathan Isaac,2
7,MIN,Lauri Markkanen,2
8,NYK,Frank Ntilikina,2
9,DAL,Dennis Smith,2
10,SAC,Zach Collins,2
11,CHO,Malik Monk,2
12,DET,Luke Kennard,2
13,DEN,Donovan Mitchell,2
14,MIA,Bam Adebayo,2
15,POR,Justin Jackson,2
16,CHI,Justin Patton,2
17,MIL,D.J. Wilson,2
18,IND,T.J. Leaf,2
19,ATL,John Collins,2
20,POR,Harry Giles,1
21,OKC,Terrance Ferguson,2
22,BRK,Jarrett Allen,2
23,TOR,OG Anunoby,2
24,UTA,Tyler Lydon,2
25,ORL,Anžejs Pasečņiks,
26,POR,Caleb Swanigan,2
27,BRK,Kyle Kuzma,2
28,LAL,Tony Bradley,2
29,SAS,Derrick White,2
30,UTA,Josh Hart,2
31,CHO,Frank Jackson,1
32,PHO,Davon Reed,2
33,ORL,Wesley Iwundu,2
34,SAC,Frank Mason,2
35,ORL,Ivan Rabb,2
36,PHI,Jonah Bolden,1
37,BOS,Semi Ojeleye,2
38,CHI,Jordan Bell,2
39,PHI,Jawun Evans,2
40,NOP,Dwayne Bacon,2
41,ATL,Tyler Dorsey,2
42,UTA,Thomas Bryant,2
43,HOU,Isaiah Hartenstein,1
44,NYK,Damyean Dotson,2
45,HOU,Dillon Brooks,2
46,PHI,Sterling Brown,2
47,IND,Ike Anigbogu,2
48,MIL,Sindarius Thornwell,2
49,DEN,Vlatko Čančar,
50,PHI,Mathias Lessort,
51,DEN,Monte Morris,2
52,NOP,Edmond Sumner,2
53,BOS,Kadeem Allen,2
54,PHO,Alec Peters,1
55,UTA,Nigel Williams-Goss,
56,BOS,Jabari Bird,1
57,BRK,Aleksandar Vezenkov,
58,NYK,Ognjen Jaramaz,
59,SAS,Jaron Blossomgame,1
60,ATL,Alpha Kaba,
