Player,Team,GP,MP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF,ORtg,DRtg
Quincy Acy,NYK,68,1287,16.3,2.8,6.2,13.5,.459,0.7,2.5,.300,3.1,4.0,.784,3.2,9.1,1.1,0.9,2.5,6.0,105,109
Jordan Adams,MEM,30,248,19.8,3.4,7.4,18.1,.407,2.1,5.3,.400,2.9,4.8,.609,1.9,4.0,3.4,1.5,2.9,5.1,96,100
Steven Adams,OKC,70,1771,15.2,1.9,6.1,11.3,.544,0.0,0.1,.000,2.9,5.8,.502,5.6,9.2,1.1,2.4,2.8,6.3,108,104
Jeff Adrien,MIN,17,215,14.2,3.5,4.5,10.4,.432,0.0,0.0,,5.2,9.0,.579,5.4,12.8,0.9,2.1,2.1,7.1,109,108
Arron Afflalo,TOT,78,2502,20.8,2.6,7.5,17.8,.424,2.4,6.7,.354,3.4,4.0,.843,0.5,4.4,0.8,0.1,2.3,3.4,103,111
Arron Afflalo,DEN,53,1750,22.0,2.9,8.0,18.8,.428,2.3,6.9,.337,3.6,4.3,.841,0.6,4.5,0.9,0.1,2.4,3.1,104,112
Arron Afflalo,POR,25,752,17.9,1.9,6.4,15.4,.414,2.4,6.1,.400,2.7,3.2,.851,0.4,4.1,0.6,0.1,2.2,4.0,100,108
Alexis Ajinça,NOP,68,957,24.3,2.6,9.9,18.1,.550,0.0,0.0,,4.4,5.4,.818,5.7,11.6,1.2,2.8,3.8,8.3,113,103
Furkan Aldemir,PHI,41,540,8.6,2.6,3.7,7.2,.513,0.0,0.5,.000,1.2,2.5,.481,7.2,9.1,1.6,1.5,1.6,8.9,117,104
Cole Aldrich,NYK,61,976,18.2,4.0,7.8,16.2,.478,0.0,0.0,,2.7,3.5,.781,5.4,12.8,2.0,3.5,3.2,6.6,104,102
LaMarcus Aldridge,POR,71,2512,33.7,2.5,13.4,28.7,.466,0.8,2.1,.352,6.2,7.3,.845,3.6,11.1,1.0,1.4,2.5,2.5,108,102
Lavoy Allen,IND,63,1070,15.2,3.5,6.8,14.4,.472,0.0,0.0,,1.6,2.3,.702,5.9,9.6,0.7,2.0,1.9,4.9,109,102
Tony Allen,MEM,63,1648,17.1,2.7,7.1,14.4,.495,0.3,0.9,.345,2.5,4.0,.627,3.3,5.6,4.1,1.0,2.7,5.3,103,98
Al-Farouq Aminu,DAL,74,1366,15.2,2.2,5.4,13.2,.412,1.3,4.6,.274,3.1,4.4,.712,4.2,8.4,2.6,2.3,2.0,5.1,107,102
Lou Amundson,TOT,53,937,14.5,3.9,6.1,14.3,.427,0.0,0.1,.000,2.3,4.9,.471,5.3,9.8,1.2,2.9,3.5,7.1,92,106
Lou Amundson,CLE,12,79,7.2,3.3,2.6,7.9,.333,0.0,0.0,,2.0,3.3,.600,3.3,9.9,0.7,0.0,3.3,7.2,84,107
Lou Amundson,NYK,41,858,15.2,4.0,6.4,14.9,.432,0.0,0.1,.000,2.3,5.0,.463,5.5,9.8,1.3,3.2,3.5,7.1,92,106
Chris Andersen,MIA,60,1132,14.9,2.0,5.6,9.7,.580,0.2,0.6,.308,3.5,5.3,.667,3.5,10.4,1.2,2.8,1.9,4.1,121,103
Alan Anderson,BRK,74,1744,16.2,2.5,5.8,13.1,.443,2.2,6.2,.348,2.4,3.0,.812,0.9,5.1,1.7,0.1,1.8,4.4,109,109
Kyle Anderson,SAS,33,358,10.6,4.0,4.4,12.7,.348,0.4,1.6,.273,1.3,2.0,.643,0.7,9.6,2.1,1.0,1.4,4.0,87,100
Ryan Anderson,NOP,61,1675,26.1,1.7,9.1,22.9,.399,3.8,11.3,.340,4.0,4.7,.854,3.4,5.9,1.0,0.6,1.9,3.5,109,110
Giannis Antetokounmpo,MIL,81,2541,20.7,4.2,7.7,15.7,.491,0.1,0.9,.159,5.2,7.0,.741,2.0,8.9,1.5,1.7,3.5,5.1,105,101
Carmelo Anthony,NYK,40,1428,35.6,4.5,13.2,29.7,.444,2.2,6.6,.341,7.0,8.7,.797,2.7,7.1,1.5,0.6,3.3,3.2,106,110
Joel Anthony,DET,49,406,11.1,0.6,4.6,7.9,.581,0.0,0.0,,1.9,2.8,.682,4.1,7.8,1.5,6.2,1.5,7.0,119,100
Pero Antić,ATL,63,1037,17.5,2.4,5.3,14.6,.365,2.6,8.5,.301,4.3,6.1,.715,2.9,6.5,0.9,0.7,2.4,6.5,102,106
Trevor Ariza,HOU,82,2930,17.8,3.5,6.2,15.4,.402,3.3,9.4,.350,2.1,2.4,.853,1.3,6.5,2.6,0.3,2.4,3.2,107,103
Darrell Arthur,DEN,58,988,19.3,2.9,7.8,19.4,.404,1.3,5.6,.236,2.3,3.0,.780,2.7,6.0,2.4,1.3,2.4,7.4,97,106
Ömer Aşık,NOP,76,1982,14.8,1.9,5.6,10.9,.517,0.0,0.0,,3.5,6.0,.582,6.5,13.4,0.8,1.4,2.5,3.8,112,105
D.J. Augustin,TOT,82,1964,20.2,9.2,6.7,16.9,.399,2.2,6.4,.337,4.6,5.3,.868,0.5,3.7,1.3,0.1,3.8,2.4,107,110
D.J. Augustin,DET,54,1287,23.1,10.6,7.6,18.5,.410,2.0,6.0,.327,5.9,6.8,.870,0.5,3.5,1.3,0.1,4.4,2.5,108,110
D.J. Augustin,OKC,28,677,15.0,6.5,5.1,13.8,.371,2.5,7.1,.354,2.3,2.7,.861,0.5,4.0,1.2,0.1,2.6,2.4,105,110
Jeff Ayres,SAS,51,383,18.3,1.9,7.4,12.7,.579,0.0,0.0,,3.6,4.8,.750,4.9,10.7,1.1,1.1,3.5,8.0,112,101
Luke Babbitt,NOP,63,830,16.2,1.5,5.8,12.2,.479,3.7,7.3,.513,0.8,1.2,.684,0.8,6.3,1.1,0.7,1.6,4.0,117,110
Cameron Bairstow,CHI,18,64,8.1,0.8,2.4,11.3,.214,0.0,0.0,,3.2,4.0,.800,4.9,1.6,1.6,0.8,2.4,6.5,77,108
Leandro Barbosa,GSW,66,982,23.2,4.9,9.1,19.2,.474,2.1,5.6,.384,2.9,3.7,.784,1.1,3.4,2.0,0.4,2.2,4.3,111,104
J.J. Barea,DAL,77,1362,21.5,9.7,8.3,19.8,.420,2.0,6.2,.323,2.8,3.5,.809,0.9,4.1,1.2,0.0,2.6,3.9,109,110
Andrea Bargnani,NYK,29,785,28.8,3.1,11.0,24.2,.454,1.0,2.7,.366,5.8,7.2,.813,2.1,6.4,0.1,1.8,2.8,3.6,104,113
Harrison Barnes,GSW,82,2318,17.4,2.4,6.7,13.8,.482,1.8,4.5,.405,2.3,3.2,.720,2.5,7.1,1.3,0.4,1.5,3.1,116,104
Matt Barnes,LAC,76,2271,17.1,2.5,6.2,13.9,.444,3.0,8.4,.362,1.7,2.1,.779,1.1,5.6,1.5,1.1,1.9,5.4,108,107
Earl Barron,PHO,16,143,11.2,1.7,4.2,13.6,.308,0.7,1.4,.500,2.1,4.2,.500,4.9,4.9,1.4,0.7,1.7,9.1,87,108
Will Barton,TOT,58,983,20.3,4.1,7.7,18.0,.425,1.2,4.3,.271,3.8,4.8,.787,1.3,7.0,2.5,1.0,3.1,3.6,99,105
Will Barton,POR,30,300,15.3,4.6,6.5,17.0,.380,0.7,3.1,.222,1.7,2.5,.667,0.5,5.3,2.4,0.7,2.9,3.4,86,103
Will Barton,DEN,28,683,22.4,3.9,8.2,18.5,.443,1.4,4.9,.284,4.7,5.8,.810,1.7,7.7,2.5,1.1,3.2,3.7,104,106
Brandon Bass,BOS,82,1929,22.5,2.7,8.9,17.7,.504,0.2,0.8,.281,4.4,5.6,.790,3.6,6.7,1.1,0.8,2.2,3.6,112,106
Nicolas Batum,POR,71,2380,14.2,7.3,5.1,12.8,.400,2.1,6.6,.324,1.8,2.1,.857,1.3,7.6,1.7,0.9,2.8,2.3,106,103
Jerryd Bayless,MIL,77,1717,17.8,6.9,6.5,15.3,.426,1.1,3.6,.308,3.6,4.1,.883,0.7,5.6,1.8,0.4,4.0,4.8,99,104
Aron Baynes,SAS,70,1122,21.0,1.6,8.4,14.9,.566,0.0,0.2,.250,4.1,4.7,.865,5.0,9.5,0.7,1.0,3.0,7.4,116,103
Kent Bazemore,ATL,75,1324,15.1,3.0,5.4,12.8,.426,1.9,5.1,.364,2.3,3.9,.600,0.8,7.8,2.0,1.3,2.8,4.9,94,102
Bradley Beal,WAS,63,2107,23.4,4.7,8.8,20.7,.427,2.6,6.3,.409,3.2,4.0,.783,1.4,4.5,1.8,0.4,3.0,3.3,102,105
Michael Beasley,MIA,24,505,22.2,3.3,9.6,22.2,.434,0.8,3.6,.235,2.1,2.7,.769,1.3,8.1,1.6,1.4,3.9,6.9,89,106
Marco Belinelli,SAS,62,1388,20.9,3.5,7.3,17.3,.423,3.2,8.5,.374,3.1,3.7,.848,1.0,4.8,1.1,0.1,2.2,3.1,107,106
Jerrelle Benimon,UTA,2,3,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,17.7,35.4,0.0,0.0,17.7,0.0,46,93
Anthony Bennett,MIN,57,894,16.9,2.7,7.1,16.9,.421,0.4,1.3,.304,2.3,3.6,.641,3.0,9.3,1.5,0.9,2.0,4.9,96,111
Patrick Beverley,HOU,56,1727,16.4,5.5,5.9,15.3,.383,3.3,9.3,.356,1.3,1.7,.750,1.9,4.9,1.7,0.7,2.4,5.2,107,106
Sim Bhullar,SAC,3,3,33.6,16.8,16.8,33.6,.500,0.0,0.0,,0.0,0.0,,0.0,16.8,0.0,16.8,0.0,0.0,124,88
Bismack Biyombo,CHO,64,1243,12.6,0.7,4.2,7.7,.543,0.0,0.0,,4.2,7.3,.583,6.6,10.3,0.7,4.1,2.2,5.8,115,99
Tarik Black,TOT,63,1196,16.0,1.8,6.6,11.6,.575,0.0,0.0,.000,2.8,5.0,.551,6.0,9.6,0.8,1.0,2.0,6.7,118,108
Tarik Black,HOU,25,393,13.3,1.0,5.7,10.5,.542,0.0,0.1,.000,1.9,3.7,.517,7.3,8.7,0.8,0.3,2.4,7.1,112,105
Tarik Black,LAL,38,803,17.4,2.2,7.1,12.1,.589,0.0,0.0,,3.2,5.7,.562,5.3,10.0,0.8,1.4,1.8,6.5,121,110
DeJuan Blair,WAS,29,180,15.9,0.9,7.4,16.2,.456,0.0,0.0,,1.1,1.7,.667,4.6,11.4,2.0,0.3,3.7,11.7,88,100
Steve Blake,POR,81,1529,11.7,9.6,4.1,10.9,.373,2.6,7.3,.352,1.0,1.4,.707,0.5,4.0,1.4,0.2,3.5,3.9,103,107
Eric Bledsoe,PHO,81,2800,24.5,8.8,8.3,18.6,.447,1.6,4.8,.324,6.3,7.9,.800,1.3,6.2,2.3,0.8,4.9,3.4,107,106
Vander Blue,LAL,2,74,15.2,5.5,6.2,20.7,.300,1.4,6.9,.200,1.4,3.5,.400,1.4,4.8,2.1,0.0,4.1,2.8,72,112
Bojan Bogdanović,BRK,78,1854,19.5,1.9,7.3,16.1,.453,2.5,7.1,.355,2.4,3.0,.821,1.4,4.6,0.9,0.3,2.2,2.9,106,111
Andrew Bogut,GSW,67,1583,13.0,5.6,6.2,11.0,.563,0.0,0.0,,0.7,1.3,.524,4.4,12.4,1.2,3.5,3.3,5.8,110,97
Matt Bonner,SAS,72,935,14.5,2.6,5.1,12.6,.409,2.5,6.9,.365,1.6,2.0,.811,1.6,4.7,0.5,0.7,0.6,3.6,116,107
Trevor Booker,UTA,79,1564,19.3,2.8,7.7,15.8,.487,1.0,2.9,.345,2.9,5.0,.581,4.7,8.8,1.5,1.4,3.0,4.9,107,104
