Player,Team,GP,GS,MPG,PPG,APG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Quincy Acy,NYK,68,22,18.9,5.9,1.0,2.2,4.9,.459,0.3,0.9,.300,.486,1.1,1.4,.784,1.2,3.3,0.4,0.3,0.9,2.2
Jordan Adams,MEM,30,0,8.3,3.1,0.5,1.2,2.9,.407,0.3,0.8,.400,.465,0.5,0.8,.609,0.3,0.6,0.5,0.2,0.5,0.8
Steven Adams,OKC,70,67,25.3,7.7,0.9,3.1,5.7,.544,0.0,0.0,.000,.544,1.5,2.9,.502,2.8,4.6,0.5,1.2,1.4,3.2
Jeff Adrien,MIN,17,0,12.6,3.5,0.9,1.1,2.6,.432,0.0,0.0,,.432,1.3,2.2,.579,1.4,3.2,0.2,0.5,0.5,1.8
Arron Afflalo,TOT,78,72,32.1,13.3,1.7,4.8,11.3,.424,1.5,4.3,.354,.491,2.1,2.5,.843,0.3,2.8,0.5,0.1,1.5,2.1
Arron Afflalo,DEN,53,53,33.0,14.5,1.9,5.3,12.4,.428,1.5,4.6,.337,.490,2.4,2.8,.841,0.4,3.0,0.6,0.1,1.6,2.0
Arron Afflalo,POR,25,19,30.1,10.6,1.1,3.8,9.1,.414,1.4,3.6,.400,.493,1.6,1.9,.851,0.2,2.4,0.4,0.1,1.3,2.4
Alexis Ajinça,NOP,68,8,14.1,6.5,0.7,2.7,4.8,.550,0.0,0.0,,.550,1.2,1.5,.818,1.5,3.1,0.3,0.8,1.0,2.2
Furkan Aldemir,PHI,41,9,13.2,2.3,0.7,1.0,1.9,.513,0.0,0.1,.000,.513,0.3,0.7,.481,1.9,2.4,0.4,0.4,0.4,2.3
Cole Aldrich,NYK,61,16,16.0,5.5,1.2,2.4,4.9,.478,0.0,0.0,,.478,0.8,1.0,.781,1.7,3.9,0.6,1.1,1.0,2.0
LaMarcus Aldridge,POR,71,71,35.4,23.4,1.7,9.3,19.9,.466,0.5,1.5,.352,.479,4.3,5.1,.845,2.5,7.7,0.7,1.0,1.7,1.8
Lavoy Allen,IND,63,0,17.0,5.0,1.2,2.2,4.7,.472,0.0,0.0,,.472,0.5,0.7,.702,2.0,3.2,0.2,0.7,0.6,1.6
Tony Allen,MEM,63,41,26.2,8.6,1.4,3.6,7.2,.495,0.2,0.5,.345,.505,1.3,2.0,.627,1.6,2.8,2.0,0.5,1.4,2.6
Al-Farouq Aminu,DAL,74,3,18.5,5.6,0.8,2.0,4.8,.412,0.5,1.7,.274,.459,1.1,1.6,.712,1.5,3.1,0.9,0.8,0.7,1.9
Lou Amundson,TOT,53,35,17.7,4.9,1.3,2.1,4.8,.427,0.0,0.0,.000,.427,0.8,1.6,.471,1.8,3.3,0.4,1.0,1.2,2.4
Lou Amundson,CLE,12,0,6.6,0.9,0.4,0.3,1.0,.333,0.0,0.0,,.333,0.3,0.4,.600,0.4,1.3,0.1,0.0,0.4,0.9
Lou Amundson,NYK,41,35,20.9,6.0,1.6,2.6,5.9,.432,0.0,0.0,.000,.432,0.9,2.0,.463,2.2,3.9,0.5,1.3,1.4,2.8
Chris Andersen,MIA,60,20,18.9,5.3,0.7,2.0,3.5,.580,0.1,0.2,.308,.589,1.3,1.9,.667,1.3,3.7,0.4,1.0,0.7,1.5
Alan Anderson,BRK,74,19,23.6,7.4,1.1,2.6,5.9,.443,1.0,2.8,.348,.526,1.1,1.4,.812,0.4,2.3,0.8,0.1,0.8,2.0
