Team,Player,Position,Experience
ATL,Chandler Parsons,F,8
ATL,Evan Turner,G,9
ATL,Allen Crabbe,G-F,6
ATL,DeAndre' Bembry,F,3
ATL,Damian Jones,F-C,3
ATL,John Collins,F,2
ATL,Trae Young,G,1
ATL,Kevin Huerter,G,1
ATL,Alex Len,C,6
ATL,De'Andre Hunter,F,R
ATL,Cam Reddish,F,R
ATL,Bruno Fernando,F,R
ATL,Jabari Parker,F,5
BOS,Jaylen Brown,F-G,3
BOS,Jayson Tatum,F,2
BOS,Gordon Hayward,F-G,9
BOS,Semi Ojeleye,F,2
BOS,Robert Williams,F,1
BOS,Marcus Smart,G,5
BOS,Romeo Langford,G,R
BOS,Grant Williams,F,R
BOS,Kemba Walker,G,8
BOS,Carsen Edwards,G,R
BOS,Daniel Theis,C,2
BOS,Enes Kanter,C,8
BOS,Brad Wanamaker,G,1
BRK,Taurean Waller-Prince,F,3
BRK,Caris LeVert,G-F,3
BRK,Jarrett Allen,C-F,2
BRK,Džanan Musa,G-F,1
BRK,Rodions Kurucs,F,1
BRK,Joe Harris,G,5
BRK,Spencer Dinwiddie,G,5
BRK,Nicolas Claxton,F,R
BRK,Kevin Durant,F-G,12
BRK,DeAndre Jordan,C,11
BRK,Kyrie Irving,G,8
BRK,Wilson Chandler,F,11
BRK,Garrett Temple,G,9
BRK,Theo Pinson,G,1
BRK,David Nwaba,G,3
BRK,Henry Ellenson,F,3
CHO,Michael Kidd-Gilchrist,F,7
CHO,Cody Zeller,C-F,6
CHO,Nicolas Batum,F-G,11
CHO,Bismack Biyombo,C-F,8
CHO,Marvin Williams,F,14
CHO,Willy Hernangómez,C,3
CHO,Malik Monk,G,2
CHO,Dwayne Bacon,G,2
CHO,Miles Bridges,G-F,1
CHO,Devonte' Graham,G,1
CHO,PJ Washington,F,R
CHO,Terry Rozier,G,4
CHI,Denzel Valentine,G,2
CHI,Kris Dunn,G,3
CHI,Lauri Markkanen,F-C,2
CHI,Cristiano Felício,F-C,4
CHI,Otto Porter,F,6
CHI,Chandler Hutchison,G,1
CHI,Wendell Carter,C,1
CHI,Zach LaVine,G,5
CHI,Antonio Blakeney,G,2
CHI,Coby White,G,R
CHI,Daniel Gafford,F,R
CHI,Tomáš Satoranský,G,3
CHI,Thaddeus Young,F,12
CHI,Ryan Arcidiacono,G,2
CHI,Luke Kornet,F,2
CHI,Shaquille Harrison,G,2
CLE,John Henson,C-F,7
CLE,Brandon Knight,G,7
CLE,Tristan Thompson,F-C,8
CLE,Jordan Clarkson,G,5
CLE,Matthew Dellavedova,G,6
